id,shortWording,fullWording
1,Upset by Something Unexpected,In the last month how often have you been upset because of something that happened unexpectedly
2,Unaable to Control Important Things,In the last month how often have you felt that you were unable to control the important things in your life
3,"Nervous and ""Stressed""","In the last month how often have you felt nervous and ""stressed"""
4,Confident About Personal Problems,In the last month how often have you felt confident about your ability to handle your personal problems
5,Feeling Things Were Going Your Way,In the last month how often have you felt that things were going your way
6,Unable to Cope with Things to Do,In the last month how often have you found that you could not cope with all the things that you had to do
7,Able to Control Irritations,In the last month how often have you been able to control irritations in your life
8,On Top of Things,In the last month how often have you felt that you were on top of things
9,Angered by Things You Can't Control,In the last month how often have you been angered because of things that were outside of your control
10,Feeling Things Were Piling Up,In the last month how often have you felt difficulties were piling up so high that you could not overcome them
